groupID	featureID	exonBaseMean	dispersion	stat	pvalue	padj	PREECLAMPSIA	CONTROL	log2fold_CONTROL_PREECLAMPSIA
gene-Sox17	rna-NM_001420508.1	32.5952483071161	0.0626680880291152	0.755075975229332	0.384873890152111	0.853273309303192	1.48331201641962	1.55984485806355	0.150882382334652
gene-Sox17	rna-XM_030252405.1	14.5608557532111	0.0765078013881808	0.682993714667631	0.408557751541832	0.865051652712158	1.07844824859018	0.996059882912332	-0.23352156431628
gene-Mrpl15	rna-NM_001177658.2	105.106943874601	0.0342590809949854	0.0241806526601636	0.87642613331681	1	2.61704894901353	2.69463001430872	0.0942573241481757
gene-Mrpl15	rna-NM_025300.5	25.1450057653235	0.0703821522936297	2.24502279694349	0.134044932967453	0.600857349226748	1.46841812598305	1.22830223783355	-0.531127800599432
gene-Mrpl15	rna-NM_001420685.1	108.718336418972	0.0548101971859353	0.348689556499068	0.554855879329035	0.900829866677938	2.62511515089444	2.76536822599181	0.168450728913959
gene-Tcea1	rna-NM_001159750.1	259.895283518661	0.0248416271607556	0.25149878096417	0.616021711372383	0.923846739190219	3.93332958401536	3.86700055892384	-0.0612605101133274
gene-Tcea1	rna-NM_011541.4	1643.19758847725	0.0229790282072053	0.269727115575733	0.603514884197512	0.91843623922047	7.27059956148603	7.34212368472272	0.0503573599682774
gene-Rgs20	rna-XM_006495554.3	17.25667046056	2.002959612051	0.815976015641183	0.366359317373816	0.84165698305274	1.46835470278351	0.795844897898069	-1.80480674082751
gene-Rgs20	rna-XM_036152516.1	29.2829526746215	0.428242309708155	0.59997828805686	0.438586310290539	0.874625228467763	1.33933217290901	1.51318094251438	0.364335248813228
gene-Rgs20	rna-NM_021374.5	302.488185112832	0.237786214325836	0.182987432500028	0.668818359560333	0.943538955066408	4.09623609471631	4.12015695473428	0.0214069638371051
gene-Atp6v1h	rna-NM_001310442.1	1248.70188888157	0.00915127329983188	0.797277322383962	0.371908654077971	0.844165827633557	6.77954616128615	6.7068820028655	-0.0522552445057904
gene-Atp6v1h	rna-NM_133826.5	693.751075785823	0.0110241307664556	1.00963616409848	0.314990018605025	0.807543660229396	5.53803767754149	5.66973370260657	0.100942069385589
gene-Atp6v1h	rna-XM_036152423.1	212.684938708575	0.00542091976802625	0.0593133259483523	0.80758456679179	0.993056332629461	3.60894380010574	3.57929885111916	-0.0288556904704889
gene-Rb1cc1	rna-XM_006495443.5	245.609153416604	0.227049781464757	0.809257948717431	0.368339729346934	0.84229095749413	3.93425784345526	3.56452030315263	-0.35031232767876
gene-Rb1cc1	rna-XM_011238338.3	224.269732735365	0.0389430184522214	0.408822504396483	0.522567761403977	0.886994305800331	3.65163614907161	3.65303190655306	0.00134426457436465
gene-Rb1cc1	rna-XM_036156334.1	542.900921544173	0.0500676024341787	0.30444309313998	0.581110314915894	0.908279709752222	5.08632735716321	5.17313326718847	0.0691141191448299
gene-Rb1cc1	rna-NM_009826.4	557.693919070134	0.102582417034076	0.571589904374292	0.449627821561375	0.876935627083346	5.23300567918571	5.07919206781027	-0.122182634248691
gene-Rb1cc1	rna-XM_036156270.1	204.791295898358	1.64264267701457	3.6765282738983	0.0551836414940696	0.396593544179466	2.37510401819237	4.48812857866341	2.18047164865853
gene-St18	rna-XM_036164682.1	81.5168136355862	6.76996653750688	0.00731942255660556	0.931821266017155	1	2.44306491030624	2.29250580265581	-0.200856716058253
gene-St18	rna-NM_173868.2	110.749278282456	6.67288979444124	0.00747648231711651	0.931095462728091	1	2.62147882614401	2.78665482830074	0.197889124103804
gene-Pcmtd1	rna-NM_183028.3	1550.01090099143	0.210383276141403	0.234911472131273	0.627905719864059	0.927716198657385	7.06352698460592	7.30875475895622	0.173367589534022
gene-Pcmtd1	rna-XM_036165672.1	237.378638037765	0.22139718631331	0.223301173439921	0.636536020235855	0.931315671298972	3.85550545565274	3.65950585241129	-0.185359124358055
gene-Sntg1	rna-NM_001290390.1	19.7243385660174	2.22789170897777	0.129999346462256	0.718432716521483	0.96132132886671	1.29352058914947	1.12241441627614	-0.419579668079207
gene-Sntg1	rna-NM_001290392.1	25.9355426307052	4.54409198556209	0.00927191716516518	0.923289621793032	1	1.46080489158503	1.29604862744946	-0.356460975916409
gene-Sntg1	rna-NM_001290393.1	103.930401296895	2.24553958659554	0.301934280079166	0.582672334342062	0.908953162533338	3.19268784151712	2.09559517681457	-1.35501291545184
gene-Sntg1	rna-NM_027671.5	4.72439732977254	2.95701620138728	1.58849296397011	0.207541579414065	0.724119722918839	0.00801105121485435	0.763336139584759	13.1627779543336
gene-Adhfe1	rna-NM_001357376.1	13.3413611634678	2.59336374733035	0.0221592187702555	0.881664319079026	1	1.01040841819649	0.975322087714098	-0.103695186338528
gene-Adhfe1	rna-NM_175236.5	23.1611283661697	2.48988735623826	0.0233056762726989	0.878664854787676	1	1.27267545211541	1.31560031058403	0.0984486597583212
gene-Mybl1	rna-XM_011238350.2	24.2618131515152	0.255450996277599	1.44067002973458	0.230030945851164	0.745690674663369	1.23342711608262	1.35539062229073	0.279845782011864
gene-Mybl1	rna-XM_006495461.1	5.63640755211458	3.02716499853254	0.305376892392331	0.580531062902098	0.908131754037577	0.769576549699536	0.547881953269924	-0.98762044557574
gene-Mybl1	rna-NM_001290397.1	40.4888147590878	1.08055611102037	0.253744675560768	0.614450591759972	0.923607621204512	1.71704920650434	1.65611772883951	-0.109292425832678
gene-Mybl1	rna-NM_008651.3	20.9780106554638	4.05333972242221	0.668508680371701	0.413572032543083	0.86608733850592	1.68926256341502	0.812092088399167	-2.16736042024193
gene-Sgk3	rna-NM_133220.2	34.4395920306627	1.23515248269287	0.411444275161614	0.521237357159411	0.886994305800331	1.31350900209245	1.81751818702232	0.975828696013498
gene-Sgk3	rna-NM_177547.3	44.6609728590981	1.24273659915721	1.75025076189749	0.185845211209988	0.696004349272834	2.05669937294273	1.42488968069307	-1.11285187705814
gene-Sgk3	rna-NM_001037759.1	33.5581699650329	4.28932864294725	0.185118753638562	0.667010674201914	0.942307227192703	1.43918685548403	1.6787329063565	0.462577767889188
gene-Cspp1	rna-XM_030252691.1	43.6471358411651	3.50267437291793	1.43399541460059	0.231113489902708	0.746732074735954	2.41060835069588	0.00560628530192631	-17.6387497679023
gene-Cspp1	rna-NM_026493.3	43.9953497960651	3.78403657898892	0.608769598668971	0.435251454422455	0.874613575809682	1.61760369485587	1.92526048772235	0.529091516182226
gene-Cspp1	rna-XM_017319604.2	43.3520151177949	2.55432347174374	4.05013893417734	0.0441677097234795	0.353784117712527	1.06786056223168	2.24904805137891	2.24517812471236
gene-Cspp1	rna-XM_030252688.2	212.680646738401	1.03593134010404	0.378703049828857	0.538298160665888	0.893114386008502	3.69927737460331	3.48157774214341	-0.212099799249678
gene-Cspp1	rna-XM_017319609.2	304.043012691546	0.167039894188353	0.00614071319009213	0.937539541119123	1	4.07670638349198	4.22819464259376	0.134725930725795
