groupID,padj
gene-0610009E02Rik,1
gene-0610009L18Rik,1
gene-0610010K14Rik,0.259977693701338
gene-0610030E20Rik,0.993563799572798
gene-0610040J01Rik,1
gene-1110002E22Rik,0.250466236666738
gene-1110002J07Rik,0.536418936073005
gene-1110002L01Rik,1
gene-1110004F10Rik,0.617765829198278
gene-1110015O18Rik,1
gene-1110018N20Rik,0.957061849939091
gene-1110019D14Rik,0.138800292321364
gene-1110038B12Rik,1
gene-1110038F14Rik,0.998045045748794
gene-1110059E24Rik,0.994131093971305
gene-1110059G10Rik,1
gene-1110065P20Rik,1
gene-1300002E11Rik,1
gene-1500002C15Rik,0.617341552787396
gene-1500004A13Rik,0.00180042108625562
gene-1500009L16Rik,1
gene-1500011B03Rik,0.77179678488714
gene-1500026H17Rik,1
gene-1500035N22Rik,1
gene-1600012H06Rik,0.982857145940531
gene-1600014C10Rik,0.981840235397646
gene-1600020E01Rik,0.955178344699617
gene-1600029O15Rik,1
gene-1700001L05Rik,1
gene-1700003E16Rik,0.938638508799732
gene-1700003M07Rik,1
gene-1700007J10Rik,1
gene-1700017B05Rik,0.587205967152674
gene-1700019D03Rik,1
gene-1700022N22Rik,0.991564084991952
gene-1700023D09Rik,1
gene-1700025G04Rik,1
gene-1700030C10Rik,1
gene-1700030J22Rik,0.345791326022734
gene-1700030K09Rik,0.0579394424859776
gene-1700034H15Rik,1
gene-1700037C18Rik+gene-Gm41410,0.993115028860376
gene-1700040D17Rik,1
gene-1700048O20Rik,0.0416113831174481
gene-1700066M21Rik,0.0735385149124638
gene-1700086L19Rik,1
gene-1700086O06Rik,0.990831793198403
gene-1700088E04Rik,0.786683571285017
gene-1700095J03Rik,1
gene-1700102P08Rik,0.820970480203479
gene-1700109H08Rik,1
gene-1700110C19Rik,1
gene-1700113A16Rik,1
gene-1700123M08Rik,1
gene-1700123O20Rik,1
gene-1700124L16Rik,1
gene-1810009A15Rik+gene-Lbhd1,1
gene-1810010H24Rik,1
gene-1810014B01Rik,1
gene-1810030O07Rik,0.241103427505343
gene-1810037I17Rik,1
gene-1810055G02Rik,1
gene-2010204K13Rik,1
gene-2010315B03Rik,0.996109670396144
gene-2210016L21Rik,0.547762273761641
gene-2300009A05Rik,0.862171104776675
gene-2310002F09Rik,1
gene-2310009B15Rik,1
gene-2310010J17Rik,0.64098874128938
gene-2310011J03Rik,1
gene-2310015A10Rik,0.20861964623655
gene-2310022A10Rik,0.65331590295037
gene-2310022B05Rik,0.724533651793735
gene-2310033P09Rik,0.666452635086448
gene-2310047D07Rik,1
gene-2310057M21Rik,0.627589464102907
gene-2310058D17Rik,0.688041510690376
gene-2310061I04Rik,0.225666557054303
gene-2310069G16Rik,1
gene-2410002F23Rik+gene-Gm26247,0.000316319758197981
gene-2410004B18Rik,1
gene-2410004I01Rik,1
gene-2410004P03Rik,0.977083547613484
gene-2410006H16Rik,1
gene-2410018L13Rik,1
gene-2500002B13Rik,1
gene-2500004C02Rik,1
gene-2510002D24Rik,1
